Plot Title: 20376534,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376534, SEN S/N: 20376534)",Coupler Detached (LGR S/N: 20376534),Coupler Attached (LGR S/N: 20376534),Host Connected (LGR S/N: 20376534),Stopped (LGR S/N: 20376534),End Of File (LGR S/N: 20376534)
468,07/29/18 02:36:31 AM,78.449,,,,,
469,07/29/18 04:36:31 AM,78.098,,,,,
470,07/29/18 06:36:31 AM,77.749,,,,,
471,07/29/18 08:36:31 AM,77.574,,,,,
472,07/29/18 10:36:31 AM,77.923,,,,,
473,07/29/18 12:36:31 PM,82.508,,,,,
474,07/29/18 02:36:31 PM,87.733,,,,,
475,07/29/18 04:36:31 PM,88.099,,,,,
476,07/29/18 06:36:31 PM,84.474,,,,,
477,07/29/18 08:36:31 PM,81.797,,,,,
478,07/29/18 10:36:31 PM,80.206,,,,,
479,07/30/18 12:36:31 AM,79.326,,,,,
480,07/30/18 02:36:31 AM,78.975,,,,,
481,07/30/18 04:36:31 AM,78.274,,,,,
482,07/30/18 06:36:31 AM,77.923,,,,,
483,07/30/18 08:36:31 AM,78.098,,,,,
484,07/30/18 10:36:31 AM,80.735,,,,,
485,07/30/18 12:36:31 PM,81.266,,,,,
486,07/30/18 02:36:31 PM,80.206,,,,,
487,07/30/18 04:36:31 PM,81.975,,,,,
488,07/30/18 06:36:31 PM,81.442,,,,,
489,07/30/18 08:36:31 PM,79.678,,,,,
490,07/30/18 10:36:31 PM,78.624,,,,,
491,07/31/18 12:36:31 AM,78.274,,,,,
492,07/31/18 02:36:31 AM,78.098,,,,,
493,07/31/18 04:36:31 AM,77.749,,,,,
494,07/31/18 06:36:31 AM,77.225,,,,,
495,07/31/18 08:36:31 AM,78.274,,,,,
496,07/31/18 10:36:31 AM,80.206,,,,,
497,07/31/18 12:36:31 PM,80.911,,,,,
498,07/31/18 02:36:31 PM,88.099,,,,,
499,07/31/18 04:36:31 PM,87.915,,,,,
500,07/31/18 06:36:31 PM,85.194,,,,,
501,07/31/18 08:36:31 PM,82.152,,,,,
502,07/31/18 10:36:31 PM,80.382,,,,,
503,2008/1/18 0:36,79.502,,,,,
504,2008/1/18 2:36,78.975,,,,,
505,2008/1/18 4:36,78.449,,,,,
506,2008/1/18 6:36,78.274,,,,,
507,2008/1/18 8:36,78.8,,,,,
508,2008/1/18 10:36,80.911,,,,,
509,2008/1/18 12:36,88.833,,,,,
510,2008/1/18 14:36,92.926,,,,,
511,2008/1/18 16:36,91.8,,,,,
512,2008/1/18 18:36,88.282,,,,,
513,2008/1/18 20:36,84.654,,,,,
514,2008/1/18 22:36,82.686,,,,,
515,2008/2/18 0:36,81.621,,,,,
516,2008/2/18 2:36,80.735,,,,,
517,2008/2/18 4:36,80.029,,,,,
518,2008/2/18 6:36,79.502,,,,,
519,2008/2/18 8:36,80.206,,,,,
520,2008/2/18 10:36,80.206,,,,,
521,2008/2/18 12:36,81.797,,,,,
522,2008/2/18 14:36,80.382,,,,,
523,2008/2/18 16:36,81.621,,,,,
524,2008/2/18 18:36,82.152,,,,,
525,2008/2/18 20:36,80.559,,,,,
526,2008/2/18 22:36,79.326,,,,,
527,2008/3/18 0:36,78.274,,,,,
