"Plot Title: 20376532"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376532, SEN S/N: 20376532)","Host Connected (LGR S/N: 20376532)","Coupler Detached (LGR S/N: 20376532)","Bad Battery (LGR S/N: 20376532)","Coupler Attached (LGR S/N: 20376532)","Stopped (LGR S/N: 20376532)","End Of File (LGR S/N: 20376532)"
380,07/21/19 08:57:09 PM,28.456,,,,,,
381,07/21/19 10:57:09 PM,27.567,,,,,,
382,07/22/19 12:57:09 AM,27.075,,,,,,
383,07/22/19 02:57:09 AM,26.683,,,,,,
384,07/22/19 04:57:09 AM,26.097,,,,,,
385,07/22/19 06:57:09 AM,25.610,,,,,,
386,07/22/19 08:57:09 AM,26.195,,,,,,
387,07/22/19 10:57:09 AM,28.953,,,,,,
388,07/22/19 12:57:09 PM,31.676,,,,,,
389,07/22/19 02:57:09 PM,32.188,,,,,,
390,07/22/19 04:57:09 PM,31.064,,,,,,
391,07/22/19 06:57:09 PM,29.452,,,,,,
392,07/22/19 08:57:09 PM,28.060,,,,,,
393,07/22/19 10:57:09 PM,27.370,,,,,,
394,07/23/19 12:57:09 AM,26.879,,,,,,
395,07/23/19 02:57:09 AM,26.585,,,,,,
396,07/23/19 04:57:09 AM,26.292,,,,,,
397,07/23/19 06:57:09 AM,26.097,,,,,,
398,07/23/19 08:57:09 AM,26.585,,,,,,
399,07/23/19 10:57:09 AM,28.159,,,,,,
400,07/23/19 12:57:09 PM,31.166,,,,,,
401,07/23/19 02:57:09 PM,31.676,,,,,,
402,07/23/19 04:57:09 PM,30.558,,,,,,
403,07/23/19 06:57:09 PM,29.152,,,,,,
404,07/23/19 08:57:09 PM,27.173,,,,,,
405,07/23/19 10:57:09 PM,26.390,,,,,,
406,07/24/19 12:57:09 AM,26.097,,,,,,
407,07/24/19 02:57:09 AM,25.708,,,,,,
408,07/24/19 04:57:09 AM,25.319,,,,,,
409,07/24/19 06:57:09 AM,25.028,,,,,,
410,07/24/19 08:57:09 AM,25.222,,,,,,
411,07/24/19 10:57:09 AM,25.708,,,,,,
412,07/24/19 12:57:09 PM,27.370,,,,,,
413,07/24/19 02:57:09 PM,27.961,,,,,,
414,07/24/19 04:57:09 PM,28.159,,,,,,
415,07/24/19 06:57:09 PM,27.370,,,,,,
416,07/24/19 08:57:09 PM,26.390,,,,,,
417,07/24/19 10:57:09 PM,25.416,,,,,,
418,07/25/19 12:57:09 AM,24.545,,,,,,
419,07/25/19 02:57:09 AM,24.062,,,,,,
420,07/25/19 04:57:09 AM,23.388,,,,,,
421,07/25/19 06:57:09 AM,22.621,,,,,,
422,07/25/19 08:57:09 AM,23.292,,,,,,
423,07/25/19 10:57:09 AM,26.683,,,,,,
424,07/25/19 12:57:09 PM,29.652,,,,,,
425,07/25/19 02:57:09 PM,30.558,,,,,,
426,07/25/19 04:57:09 PM,29.552,,,,,,
427,07/25/19 06:57:09 PM,28.258,,,,,,
428,07/25/19 08:57:09 PM,26.879,,,,,,
429,07/25/19 10:57:09 PM,26.000,,,,,,
430,07/26/19 12:57:09 AM,25.125,,,,,,
431,07/26/19 02:57:09 AM,24.255,,,,,,
432,07/26/19 04:57:09 AM,23.677,,,,,,
433,07/26/19 06:57:09 AM,23.196,,,,,,
434,07/26/19 08:57:09 AM,24.158,,,,,,
435,07/26/19 10:57:09 AM,26.488,,,,,,
436,07/26/19 12:57:09 PM,28.853,,,,,,
437,07/26/19 02:57:09 PM,29.652,,,,,,
438,07/26/19 04:57:09 PM,28.655,,,,,,
439,07/26/19 06:57:09 PM,27.567,,,,,,
440,07/26/19 08:57:09 PM,26.292,,,,,,
441,07/26/19 10:57:09 PM,25.319,,,,,,
442,07/27/19 12:57:09 AM,24.545,,,,,,
443,07/27/19 02:57:09 AM,24.158,,,,,,
444,07/27/19 04:57:09 AM,23.773,,,,,,
445,07/27/19 06:57:09 AM,23.292,,,,,,
446,07/27/19 08:57:09 AM,23.773,,,,,,
447,07/27/19 10:57:09 AM,27.075,,,,,,
448,07/27/19 12:57:09 PM,29.652,,,,,,
449,07/27/19 02:57:09 PM,30.054,,,,,,
