"","site","date","prec","date_parsed","month","day","year"
"370","ME","2016-01-05",0,2016-01-05,1,5,2016
"371","ME","2016-01-06",0,2016-01-06,1,6,2016
"372","ME","2016-01-07",0,2016-01-07,1,7,2016
"373","ME","2016-01-08",0.5,2016-01-08,1,8,2016
"374","ME","2016-01-09",2.6,2016-01-09,1,9,2016
"375","ME","2016-01-10",0,2016-01-10,1,10,2016
"376","ME","2016-01-11",0,2016-01-11,1,11,2016
"377","ME","2016-01-12",0,2016-01-12,1,12,2016
"378","ME","2016-01-13",0,2016-01-13,1,13,2016
"379","ME","2016-01-14",0,2016-01-14,1,14,2016
"380","ME","2016-01-15",23,2016-01-15,1,15,2016
"381","ME","2016-01-16",0.3,2016-01-16,1,16,2016
"382","ME","2016-01-17",5.2,2016-01-17,1,17,2016
"383","ME","2016-01-18",0,2016-01-18,1,18,2016
"384","ME","2016-01-19",0,2016-01-19,1,19,2016
"385","ME","2016-01-20",0,2016-01-20,1,20,2016
"386","ME","2016-01-21",0,2016-01-21,1,21,2016
"387","ME","2016-01-22",39.2,2016-01-22,1,22,2016
"388","ME","2016-01-23",0,2016-01-23,1,23,2016
"389","ME","2016-01-24",0,2016-01-24,1,24,2016
"390","ME","2016-01-25",0,2016-01-25,1,25,2016
"391","ME","2016-01-26",0,2016-01-26,1,26,2016
"392","ME","2016-01-27",0,2016-01-27,1,27,2016
"393","ME","2016-01-28",4.8,2016-01-28,1,28,2016
"394","ME","2016-01-29",0,2016-01-29,1,29,2016
"395","ME","2016-01-30",0,2016-01-30,1,30,2016
"396","ME","2016-01-31",0,2016-01-31,1,31,2016
"397","ME","2016-02-01",0,2016-02-01,2,1,2016
"398","ME","2016-02-02",0,2016-02-02,2,2,2016
"399","ME","2016-02-03",64.6,2016-02-03,2,3,2016
"400","ME","2016-02-04",52.5,2016-02-04,2,4,2016
"401","ME","2016-02-05",0,2016-02-05,2,5,2016
"402","ME","2016-02-06",10.8,2016-02-06,2,6,2016
"403","ME","2016-02-07",43.8,2016-02-07,2,7,2016
"404","ME","2016-02-08",0,2016-02-08,2,8,2016
"405","ME","2016-02-09",0,2016-02-09,2,9,2016
"406","ME","2016-02-10",0,2016-02-10,2,10,2016
"407","ME","2016-02-11",0,2016-02-11,2,11,2016
"408","ME","2016-02-12",3.9,2016-02-12,2,12,2016
"409","ME","2016-02-13",0,2016-02-13,2,13,2016
"410","ME","2016-02-14",0,2016-02-14,2,14,2016
"411","ME","2016-02-15",11,2016-02-15,2,15,2016
"412","ME","2016-02-16",11.1,2016-02-16,2,16,2016
