"Plot Title: 20376493"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376493, SEN S/N: 20376493)","Coupler Detached (LGR S/N: 20376493)","Bad Battery (LGR S/N: 20376493)","Coupler Attached (LGR S/N: 20376493)","End Of File (LGR S/N: 20376493)"
396,07/27/19 01:47:45 PM,30.255,,,,
397,07/27/19 03:47:45 PM,28.258,,,,
398,07/27/19 05:47:45 PM,27.272,,,,
399,07/27/19 07:47:45 PM,25.319,,,,
400,07/27/19 09:47:45 PM,23.581,,,,
401,07/27/19 11:47:45 PM,22.621,,,,
402,07/28/19 01:47:45 AM,21.855,,,,
403,07/28/19 03:47:45 AM,21.282,,,,
404,07/28/19 05:47:45 AM,20.805,,,,
405,07/28/19 07:47:45 AM,20.805,,,,
406,07/28/19 09:47:45 AM,23.388,,,,
407,07/28/19 11:47:45 AM,31.880,,,,
408,07/28/19 01:47:45 PM,31.064,,,,
409,07/28/19 03:47:45 PM,28.754,,,,
410,07/28/19 05:47:45 PM,27.961,,,,
411,07/28/19 07:47:45 PM,25.513,,,,
412,07/28/19 09:47:45 PM,23.773,,,,
413,07/28/19 11:47:45 PM,22.908,,,,
414,07/29/19 01:47:45 AM,22.333,,,,
415,07/29/19 03:47:45 AM,21.951,,,,
416,07/29/19 05:47:45 AM,21.569,,,,
417,07/29/19 07:47:45 AM,21.569,,,,
418,07/29/19 09:47:45 AM,23.966,,,,
419,07/29/19 11:47:45 AM,32.807,,,,
420,07/29/19 01:47:45 PM,29.752,,,,
421,07/29/19 03:47:45 PM,28.159,,,,
422,07/29/19 05:47:45 PM,27.468,,,,
423,07/29/19 07:47:45 PM,25.513,,,,
424,07/29/19 09:47:45 PM,23.677,,,,
425,07/29/19 11:47:45 PM,23.004,,,,
426,07/30/19 01:47:45 AM,22.333,,,,
427,07/30/19 03:47:45 AM,21.760,,,,
428,07/30/19 05:47:45 AM,21.187,,,,
429,07/30/19 07:47:45 AM,21.282,,,,
430,07/30/19 09:47:45 AM,23.773,,,,
431,07/30/19 11:47:45 AM,32.911,,,,
432,07/30/19 01:47:45 PM,33.326,,,,
433,07/30/19 03:47:45 PM,29.452,,,,
434,07/30/19 05:47:45 PM,28.060,,,,
435,07/30/19 07:47:45 PM,25.805,,,,
436,07/30/19 09:47:45 PM,24.158,,,,
437,07/30/19 11:47:45 PM,23.388,,,,
438,07/31/19 01:47:45 AM,22.812,,,,
439,07/31/19 03:47:45 AM,22.525,,,,
440,07/31/19 05:47:45 AM,22.046,,,,
441,07/31/19 07:47:45 AM,22.142,,,,
442,07/31/19 09:47:45 AM,24.641,,,,
443,07/31/19 11:47:45 AM,31.676,,,,
444,07/31/19 01:47:45 PM,32.911,,,,
445,07/31/19 03:47:45 PM,30.356,,,,
446,07/31/19 05:47:45 PM,27.173,,,,
447,07/31/19 07:47:45 PM,25.902,,,,
448,07/31/19 09:47:45 PM,24.545,,,,
449,07/31/19 11:47:45 PM,23.677,,,,
450,08/01/19 01:47:45 AM,22.908,,,,
451,08/01/19 03:47:45 AM,22.333,,,,
452,08/01/19 05:47:45 AM,21.951,,,,
453,08/01/19 07:47:45 AM,22.142,,,,
454,08/01/19 09:47:45 AM,24.835,,,,
455,08/01/19 11:47:45 AM,31.370,,,,
456,08/01/19 01:47:45 PM,33.535,,,,
457,08/01/19 03:47:45 PM,29.953,,,,
458,08/01/19 05:47:45 PM,28.853,,,,
459,08/01/19 07:47:45 PM,21.378,,,,
460,08/01/19 09:47:45 PM,23.004,,,,
461,08/01/19 11:47:45 PM,23.100,,,,
462,08/02/19 01:47:45 AM,22.717,,,,
463,08/02/19 03:47:45 AM,22.429,,,,
464,08/02/19 05:47:45 AM,22.238,,,,
465,08/02/19 07:47:45 AM,22.238,,,,
466,08/02/19 09:47:45 AM,23.869,,,,
467,08/02/19 11:47:45 AM,28.754,,,,
468,08/02/19 01:47:45 PM,30.154,,,,
469,08/02/19 03:47:45 PM,28.456,,,,
470,08/02/19 05:47:45 PM,28.258,,,,
471,08/02/19 07:47:45 PM,26.390,,,,
472,08/02/19 09:47:45 PM,23.869,,,,
473,08/02/19 11:47:45 PM,23.581,,,,
474,08/03/19 01:47:45 AM,23.196,,,,
475,08/03/19 03:47:45 AM,23.196,,,,
476,08/03/19 05:47:45 AM,23.100,,,,
477,08/03/19 07:47:45 AM,23.196,,,,
478,08/03/19 09:47:45 AM,24.158,,,,
479,08/03/19 11:47:45 AM,27.665,,,,
480,08/03/19 01:47:45 PM,30.255,,,,
481,08/03/19 03:47:45 PM,28.754,,,,
482,08/03/19 05:47:45 PM,27.862,,,,
483,08/03/19 07:47:45 PM,25.902,,,,
484,08/03/19 09:47:45 PM,24.448,,,,
485,08/03/19 11:47:45 PM,23.677,,,,
486,08/04/19 01:47:45 AM,23.292,,,,
487,08/04/19 03:47:45 AM,23.004,,,,
488,08/04/19 05:47:45 AM,22.621,,,,
489,08/04/19 07:47:45 AM,22.717,,,,
490,08/04/19 09:47:45 AM,25.319,,,,
491,08/04/19 11:47:45 AM,28.555,,,,
492,08/04/19 01:47:45 PM,32.188,,,,
493,08/04/19 03:47:45 PM,26.488,,,,
494,08/04/19 05:47:45 PM,25.416,,,,
495,08/04/19 07:47:45 PM,24.835,,,,
496,08/04/19 09:47:45 PM,23.869,,,,
497,08/04/19 11:47:45 PM,23.388,,,,
498,08/05/19 01:47:45 AM,23.004,,,,
499,08/05/19 03:47:45 AM,23.004,,,,
500,08/05/19 05:47:45 AM,22.908,,,,
501,08/05/19 07:47:45 AM,22.908,,,,
502,08/05/19 09:47:45 AM,24.448,,,,
503,08/05/19 11:47:45 AM,28.853,,,,
504,08/05/19 01:47:45 PM,27.764,,,,
505,08/05/19 03:47:45 PM,25.610,,,,
506,08/05/19 05:47:45 PM,26.488,,,,
507,08/05/19 07:47:45 PM,25.028,,,,
508,08/05/19 09:47:45 PM,23.677,,,,
509,08/05/19 11:47:45 PM,23.004,,,,
510,08/06/19 01:47:45 AM,22.333,,,,
511,08/06/19 03:47:45 AM,21.855,,,,
512,08/06/19 05:47:45 AM,21.473,,,,
513,08/06/19 07:47:45 AM,21.473,,,,
514,08/06/19 09:47:45 AM,23.773,,,,
515,08/06/19 11:47:45 AM,28.555,,,,
516,08/06/19 01:47:45 PM,31.268,,,,
517,08/06/19 03:47:45 PM,29.152,,,,
518,08/06/19 05:47:45 PM,28.456,,,,
519,08/06/19 07:47:45 PM,26.390,,,,
520,08/06/19 09:47:45 PM,25.125,,,,
521,08/06/19 11:47:45 PM,24.351,,,,
522,08/07/19 01:47:45 AM,23.773,,,,
523,08/07/19 03:47:45 AM,23.388,,,,
524,08/07/19 05:47:45 AM,23.100,,,,
525,08/07/19 07:47:45 AM,23.196,,,,
526,08/07/19 09:47:45 AM,25.513,,,,
527,08/07/19 11:47:45 AM,33.014,,,,
528,08/07/19 01:47:45 PM,31.778,,,,
529,08/07/19 03:47:45 PM,30.154,,,,
530,08/07/19 05:47:45 PM,29.252,,,,
531,08/07/19 07:47:45 PM,27.173,,,,
